  	  		  	  	  	Buy  	Used: $12.99   	  	  	Samurai Shodown: SEN  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $17.99   	  	  	BlazBlue: Continuum Shift  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $14.99   	  	  	Michael Phelps: Push the Limit  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $24.99   	  	  	The History Channel: Great Battles - Medieval  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $24.99   	  	  	Harry Potter and the Deathly Hallows, Part 2  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $29.99   	  	  	Arcania: Gothic 4  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $17.99   	  	  	Lucha Libre AAA Heroes del Ring  	  	  	&nbsp;  
  	  		  	  	  	Buy  	New: $49.99   	  	  	Final Fantasy XIII-2  	  	  	&nbsp;  
  	  		  	  	  	Buy  	New: $49.99   	  	  	SoulCalibur V  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $24.99   	  	  	F1: 2010  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $14.99   	  	  	Shaun White Skateboarding  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $17.99   	  	  	CSI: Fatal Conspiracy  	  	  	&nbsp;  
  	  		  	  	  	Buy  	Used: $27.99   	  	  	Rugby World Cup 2011  	  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Max Payne 3  	Release: 5/15/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Tom Clancy's Ghost Recon: Future Soldier  	Release: 5/22/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	BioShock Infinite  	Release: 10/16/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Prototype 2  	Release: 4/24/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Darksiders II  	Release: 6/26/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Far Cry 3  	Release: 9/4/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Borderlands 2  	Release: 9/18/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Madden NFL 13  	Release: 8/28/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	NCAA Football 13  	Release: 7/10/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Resident Evil 6  	Release: 11/20/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Assassin's Creed III  	Release: 10/30/12  	  	&nbsp;  
  	  		  	  	  	Pre-Order  	Pre-Order: $59.99   	  	  	Medal of Honor: Warfighter  	Release: 10/23/12  	  	&nbsp;  
